BUBBLESORT,BUBBLESORT_OT,SELECTIONSORT,SELECTIONSORT_OT,INSERTIONSORT,RADIXSORT
2.21752e+008,1.45999e+008,7.9e+007,6.9e+007,6.507e+007,6.0999e+007
2.27e+008,1.42001e+008,7.8002e+007,6.6e+007,6.2666e+007,6.0058e+007
2.18867e+008,1.43187e+008,7.8002e+007,6.906e+007,6.2e+007,6.1052e+007
2.29001e+008,1.4512e+008,7.9001e+007,6.8002e+007,6.4001e+007,5.9e+007
2.23585e+008,1.41478e+008,8.0001e+007,6.8081e+007,6.4e+007,6.0062e+007
2.2e+008,1.45001e+008,7.7e+007,6.8043e+007,6.0994e+007,5.9001e+007
2.22097e+008,1.47051e+008,7.6663e+007,6.4998e+007,6.1998e+007,6.1998e+007
2.2e+008,1.41996e+008,7.7e+007,7.6261e+007,6.511e+007,5.9e+007
2.18063e+008,1.42073e+008,8.1001e+007,6.6151e+007,6.2271e+007,6.1001e+007
2.21243e+008,1.43024e+008,7.6415e+007,6.8e+007,6.3001e+007,6e+007
